"id"	"biaoti"
"1"	"讨论 中共中央政治局：加快形成以国内大循环为主体、国内国"
"2"	"讨论 A股三大指数收跌：成交额再度突破万亿元 北向资金净流"
"3"	"讨论  高盛、瑞银齐上阵外资巨头又出手了看上哪些A股？     "
"4"	"讨论  “喝酒吃药购粮”行情！机构坚守确定性阵地稳健标的来"
"5"	"讨论 把握题材轮动，快捷下单交易，就用东方财富证券"
"6"	"悬赏 生物疫苗板块再掀涨停潮概念股新高迭起你的机会在哪？"
"7"	" 有图有真相。京东方5.15.30.60分钟级别全已底部背离，"
"8"	"上证2646点的上升浪型是非常清晰的，1浪:(31浪)是前长"
"9"	"还有盈利啊，我5.1的成本可怎么办啊"
"10"	"大头向下了，们，还硬撑"
"11"	"北斗芯片龙头连续涨停！杠杆资金巨资加仓股票揭秘"
"12"	" 怎么这么衰，买到死叉上，真的见鬼了"
"13"	" 来到京东方第四天！今天亏了2万！不到5.5不平仓！不做"
"14"	"明天暴跌的感觉[拜神]"
"15"	" 特性(老生常谈)：股市投资操作~请永远都要牢股市最大"
"16"	"明天4.4左右入0.5成，做左侧，拉低成本[大笑][大笑]["
"17"	"今天我又加仓京东方A了！没什么好怕的！反正股价也不"
"18"	"明日反包"
"19"	" 有钱就是任性"
"20"	"杠杆资金7月下旬抢筹这些医药、农牧绩优股(附名单"
"21"	"加仓？还是算了吧，留点家底买其他股赚回这股的亏钱"
"22"	"你们成本是多少啊？"
"23"	" 还是有风险的票子"
"24"	"今晚外围走坏，明天京东方带头砸盘，屡试不爽"
"25"	"看下月行情，目前日，周，月，季macd均在零轴之上发散"
"26"	"和解！华为一则大消息，这家芯片巨头暴涨800亿"
"27"	"看看光伏真的是牛股"
"28"	"厉害了！北斗三号迎来重磅利好产业链核心标的全梳理"
"29"	"金东方徒有虚名"
"30"	"重仓京东方，咋整，亏了10几万"
"31"	"营收腰斩50%！市值却暴涨800亿，美国芯片巨头和解华为"
"32"	"多少的本，都来报报，我4.58[囧]"
"33"	"那个蜗牛躲在龟壳里，不敢出来吹牛逼了。垃圾玩意儿。"
"34"	"***"
"35"	"国产供应商争做特斯拉“邻居”产业链标的能否乘势腾"
"36"	"最近怎么查不到北向资金流入流出情况呢"
"37"	"亏了十几个点，明天打算卖了，这票太垃圾了，留着是浪"
"38"	"还好上次4.53进今天4.7没卖太后悔了明天走势弱就卖，"
"39"	"何时才能回本的路上"
"40"	" 《股市如棋》股市如棋~我为卒~虽然誓言牛市不见不散~"
"41"	"上面这几十万的大卖单，应该不是故意压单的，明天估计"
"42"	"看下降这个趋势深不可测啊"
"43"	"弘缠院：首次！华为超越三星夺得全球智能手机出货量冠"
"44"	"夺冠！华为二季度全球智能手机出货首超三星"
"45"	"国家队持股大曝光！这些股被大机构抢筹（名单）"
"46"	"盘子太大，短期不推荐，有那些钱投资其他股比这性价比"
"47"	"京东方A好像从来没有过涨停板！如果他那天板上一次，"
"48"	"明天505收盤，別問我是誰，俺叫雷鋒"
"49"	"跌吧，跌到3块钱我好加仓，就不用守着五块钱的成本在"
"50"	"砸下来，明天等你。"
"51"	"京东方屏幕马上会被苹果使用，华为也会首发，千万要守"
"52"	"真是吊炸天，完犊子的玩意，整天除了认爹就是认爹"
"53"	"天天跌的股票不是好企业。大家别碰这样的股票。切记！"
"54"	"我擦，股东第一多的股票，吊炸天了"
"55"	"散户抱团股"
"56"	"7月外资逆市增持的科技股出炉最猛加仓超30亿"
